"CODIGO1","CODIGO2","CODINT1","CODINT2","COMENTARIO","VALORCOMENTARIO","FECHA","TIPO_ACTUALIZACION"
"3211","3211","C3211","C3211","",""," ",""
"3212","3212","C3212","C3212","",""," ",""
"3213","3213","C3213","C3213","",""," ",""
"3220","3220","C3220","C3220","",""," ",""
"3230","3230","C3230","C3230","",""," ",""
"3240","3240","C3240","C3240","",""," ",""
"3250","3250","C3250","C3250","",""," ",""
"3291","3291","C3291","C3291","",""," ",""
"3299","3299","C3299","C3299","",""," ",""
"3311","3311","C3311","C3311","",""," ",""
"3312","3312","C3312","C3312","",""," ",""
"3313","3313","C3313","C3313","",""," ",""
"3314","3314","C3314","C3314","",""," ",""
"3315","3315","C3315","C3315","",""," ",""
