"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"10","10","Servicios","",1,"","","","","","","AYUDACOD_CNEDF14",""
"100","100","Servicios, sin sector específico indicado","",2,"10","","","","","","AYUDACOD_CNEDF14",""
"1000","1000","Servicios, sin sector específico indicado","",3,"100","","","","","","AYUDACOD_CNEDF14",""
"101","101","Servicios personales","",2,"10","","","","","","AYUDACOD_CNEDF14",""
"1010","1010","Servicios personales, sin sector detallado indicado","",3,"101","","","","","","AYUDACOD_CNEDF14",""
"1011","1011","Servicios domésticos","",3,"101","Servicios domésticos es el estudio de varias ocupaciones relacionadas con el servicio doméstico, como ama de llaves, limpieza de la casa, lavado, cosido, ... 

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Conserjería, ama de llaves y trabajadores de servicio doméstico
- 	Limpieza en seco, lavandería
- 	Servicios funerarios y mortuorios
- 	Programas de limpieza incluso si están directamente enfocados a limpieza de colegios, hospitales, fábricas, ¿","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de mantenimiento de los elementos de edificios (fontanería, electricidad, ...) (véase 0732)","","SI","","AYUDACOD_CNEDF14",""
"1012","1012","Peluquería y servicios de belleza","",3,"101","Peluquería y servicios de belleza es el estudio de los cuidados del cabello y del cuerpo, con fines estéticos.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Barbería, peluquería, cosmética (maquillaje)
- 	Tratamiento de belleza
- 	Adelgazamiento y control de peso","","","SI","","AYUDACOD_CNEDF14",""
"1013","1013","Hostelería","",3,"101","Hostelería es el estudio de proporcionar comida, bebida, acomodación y servicios relacionados en hoteles, restaurantes, ... etc.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Servicio de comidas, de bar, de camareros
- 	Catering
- 	Formación de recepcionista de hotel","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	La formación de tripulación de cabina de pasajeros (véase 1041)
- 	Los estudios de manipulación de alimentos en empresas industriales (véase 0721)
- 	Las enseñanzas de recepcionista, distinto de hotel (véase 0415)","","SI","","AYUDACOD_CNEDF14",""
"1014","1014","Actividades físicas y deportivas","",3,"101","Actividades físicas y deportivas es el estudio de las técnicas y habilidades en un cierto deporte.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Los programas de entrenadores deportivos, árbitros y jueces deportivos
- 	Las técnicas y habilidades en un cierto deporte","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

¿	Las enseñanzas que reciben los profesores de educación física (véase 0114)
¿	 Los cursos de aprendizaje o perfeccionamiento de una actividad deportiva (tenis, golf, esquí, ¿), siempre que se trate de ocio, no constituyen un programa educativo (y por tanto no son objeto de clasificación en la CNED).","","SI","","AYUDACOD_CNEDF14",""
"1015","1015","Viajes, turismo y ocio","",3,"101","Viajes y turismo es el estudio del marketing y publicidad de destinos y sucesos turísticos. Incluye el estudio de gestión y reserva de billetes. Ocio es el estudio de las actividades recreativas y de entretenimiento para individuos y grupos.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Formación de personal de tierra (aeropuertos)
- 	Recreación y ocio
- 	Servicios de agencia de viajes
- 	Viajes y turismo","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de actividades recreativas y de ocio para escolares, (véase 0922)
- 	Las clases de baile, siempre que se consideren como una actividad de ocio, no constituye una actividad educativa (y por tanto no son objeto de clasificación en la CNED).","","SI","","AYUDACOD_CNEDF14",""
"102","102","Servicios de saneamiento a la comunidad; y de seguridad y salud  laboral","",2,"10","","","","","","AYUDACOD_CNEDF14",""
"1020","1020","Servicios de saneamiento a la comunidad; y de seguridad y salud  laboral; sin sector detallado indicado","",3,"102","","","","","","AYUDACOD_CNEDF14",""
"1021","1021","Servicios de saneamiento a la comunidad","",3,"102","Servicios de saneamiento a la comunidad es el estudio de los servicios comunitarios relativos a temas que afecten a la salud pública, como normas de higiene en alimentos, suministro de agua, proceso de aguas residuales, recogida de basuras y limpieza de calles.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Recogida de basuras, limpieza de calles
- 	Suministro de agua (servicio)","","","SI","","AYUDACOD_CNEDF14",""
"1022","1022","Seguridad y salud laboral","",3,"102","Salud y seguridad laboral es el estudio del reconocimiento, evaluación y control de factores ambientales asociados al lugar de trabajo.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Ergonomía (salud y seguridad en el trabajo)
- 	Salud y seguridad en el lugar de trabajo","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El estudio de la rehabilitación profesional y la terapia ocupacional (véase 0915)
- 	El estudio del derecho laboral (véase 0421)","","SI","","AYUDACOD_CNEDF14",""
"103","103","Servicios de seguridad","",2,"10","","","","","","AYUDACOD_CNEDF14",""
"1030","1030","Servicios de seguridad, sin sector detallado indicado","",3,"103","","","","","","AYUDACOD_CNEDF14",""
"1031","1031","Enseñanza militar","",3,"103","La enseñanza Militar, es el fundamento del ejercicio profesional en las Fuerzas Armadas, diseñada para proporcionar al militar profesional los conocimientos necesarios para ejercer las funciones de mando, administración y logística, de apoyo al mando, técnicas facultativas y docentes.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Enseñanza Militar de Formación
- 	Enseñanza Militar de Perfeccionamiento
- 	Altos Estudios Militares","","","SI","","AYUDACOD_CNEDF14",""
"1032","1032","Protección de la propiedad y las personas","",3,"103","Protección de la propiedad y las personas es el estudio de los servicios a la comunidad relativos a la protección de la propiedad y las personas. Incluye enseñanzas en servicios policiales, seguridad pública, protección y lucha contra incendios.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Tecnología de prevención de incendios
- 	Estudios policiales
- 	Guardas de prisiones
- 	Servicios de seguridad","No comprende los programas educativos o certificaciones con los siguientes contenidos principales:

- 	El estudio de la ley (véase 0421)
- 	El estudio de la criminología (véase 0314)","","SI","","AYUDACOD_CNEDF14",""
"104","104","Servicios de transporte","",2,"10","","","","","","AYUDACOD_CNEDF14",""
"1041","1041","Servicios de transporte","",3,"104","Servicios de transporte es el estudio del manejo, navegación y dirección de barcos, aeronaves y otras formas de transportes. Se incluyen en este apartado los servicios postales.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Control de tráfico aéreo
- 	Conducción de grúas y camiones, de vehículos de motor por carretera
- 	Programas de conducción de coches
- 	Navegación y vuelo, manejo de barcos, manejo de aeronaves
- 	Manejo de ferrocarril
- 	Programas de transporte
- 	La formación de tripulación de cabina de pasajeros
- 	Servicios postales","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los programas en servicios de redes telefónicas (véase 0714)
- 	Los programas en manejo de centralitas (véase 0415)","","SI","","AYUDACOD_CNEDF14",""
"108","108","Servicios, sin sector detallado predominante","",2,"10","","","","","","AYUDACOD_CNEDF14",""
